method,path,module,endpoint,public_now,public_after_fix,admin_path,auth_dependency,review,decision
POST,/api/agent-session/heartbeat,app.api.routes.agent_session_routes,heartbeat_session,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/agent-session/message,app.api.routes.agent_session_routes,send_message,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/agent-session/start,app.api.routes.agent_session_routes,start_session,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/agent-session/stop,app.api.routes.agent_session_routes,stop_session,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/agent-session/{session_id},app.api.routes.agent_session_routes,get_session,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/agent/fb-marketing/chat,app.api.routes.fb_agent_routes,fb_agent_chat,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/agent/fb-marketing/state,app.api.routes.fb_agent_routes,save_fb_state,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/agent/fb-marketing/state/{session_id},app.api.routes.fb_agent_routes,get_fb_state,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/auth/signup,app.api.routes.auth_routes,signup,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/genie/draft-site,app.api.routes.genie_routes,draft_site,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/leads,app.api.routes.lead_routes,capture_lead,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/pages/public,app.api.routes.page_routes,list_public_pages,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/pages/slug/{slug},app.api.routes.page_routes,get_page_by_slug,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/payments/create-order,app.api.routes.payment_routes,create_order,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/payments/subscription,app.api.routes.payment_routes,get_my_subscription,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
POST,/api/payments/verify,app.api.routes.payment_routes,verify_razorpay_payment,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/protected,app.main,protected_endpoint,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/resources/public,app.api.routes.resource_routes,list_public_resources,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/settings/playbook_categories,app.api.routes.settings_routes,get_playbook_categories,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
GET,/api/settings/public,app.api.routes.settings_routes,get_public_settings,True,False,False,,"DECIDE - open today, will return 401 after fix (add to PUBLIC_PATHS if guests use it)",
